Date,SPY
12/6/2012,0.013710433
12/13/2012,0.012960705
12/20/2012,-0.006448194
12/27/2012,0.004656501
1/3/2013,-0.003491617
1/10/2013,0.007881412
1/17/2013,0.014144866
1/24/2013,0.008636683
1/31/2013,0.006530361
2/7/2013,0.005689303
2/14/2013,0.00722965
2/21/2013,-0.008722496
2/28/2013,0.015667192
3/7/2013,0.007637853
3/14/2013,-0.003863522
3/21/2013,0.003211441
3/28/2013,0.004033712
4/4/2013,0.00979225
4/11/2013,-0.007940644
4/18/2013,0.017213724
4/25/2013,0.011400865
5/2/2013,0.027293276
5/9/2013,0.011570756
5/16/2013,0.006321134
5/23/2013,0.002229903
5/30/2013,-0.010047268
6/6/2013,0.011347154
6/13/2013,0.02466764
6/20/2013,-0.024722878
6/27/2013,0.006681342
7/4/2013,0.023871285
7/11/2013,0.014104624
7/18/2013,0.007085613
7/25/2013,0.000415385
8/1/2013,0.006046194
8/8/2013,0.002541893
8/15/2013,-0.018727079
8/22/2013,-0.007474371
8/29/2013,0.002928367
9/5/2013,0.018823522
9/12/2013,0.009858106
9/19/2013,-0.015565772
9/26/2013,0.001774634
10/3/2013,-0.021870113
10/10/2013,0.024758461
10/17/2013,0.019410708
10/24/2013,0.014893988
10/31/2013,-0.000113075
11/7/2013,-0.001185769
11/14/2013,0.003643815
11/21/2013,0.012382907
11/28/2013,-0.007564382
12/5/2013,0.005675323
12/12/2013,-0.000391593
12/19/2013,0.012235391
12/26/2013,0.009621058
1/2/2014,-0.006551634
1/9/2014,0.000817289
1/16/2014,-0.00259914
1/23/2014,-0.028377926
1/30/2014,-0.011051803
2/6/2014,0.038876622
2/13/2014,0.01191873
2/20/2014,0.009944058
2/27/2014,0.014768759
3/6/2014,-0.002769473
3/13/2014,0.002028763
3/20/2014,0.002530188
3/27/2014,0.017732552
4/3/2014,-0.020012641
4/10/2014,-0.015447142
4/17/2014,0.009456006
4/24/2014,0.001600321
5/1/2014,-0.008125143
5/8/2014,0.011070981
5/15/2014,-0.007986899
5/22/2014,0.012636476
5/29/2014,0.007419784
6/5/2014,0.012474941
6/12/2014,-0.000461844
6/19/2014,-0.003195103
6/26/2014,0.007413819
7/3/2014,-0.005019445
7/10/2014,0.000558318
7/17/2014,0.001212571
7/24/2014,-0.008507762
7/31/2014,-0.025231151
8/7/2014,0.007601369
8/14/2014,0.018219999
8/21/2014,0.007088515
8/28/2014,0.001797879
9/4/2014,-0.00588532
9/11/2014,0.002049236
9/18/2014,-0.009037791
9/25/2014,-0.01272796
10/2/2014,-0.005608114
10/9/2014,-0.045463773
10/16/2014,0.040980372
10/23/2014,0.02968493
10/30/2014,0.01494151
11/6/2014,0.009093512
11/13/2014,0.007795596
11/20/2014,0.009209181
11/27/2014,-0.002648977
12/4/2014,-0.006830448
12/11/2014,-0.025841231
12/18/2014,0.035218203
12/25/2014,-0.00081833
1/1/2015,-0.02782928
1/8/2015,-0.001136603
1/15/2015,0.005974486
1/22/2015,-0.001674025
1/29/2015,0.023483598
2/5/2015,0.013476341
2/12/2015,0.015367527
2/19/2015,0.007994747
2/26/2015,-0.002410296
3/5/2015,-0.024972532
3/12/2015,0.016919261
3/19/2015,-0.003363565
3/26/2015,0.003256494
4/2/2015,0.007680978
4/9/2015,0.007260285
4/16/2015,-0.003944198
4/23/2015,0.003845796
4/30/2015,-0.0079312
5/7/2015,0.009325517
5/14/2015,0.014331849
5/21/2015,-0.010240254
5/28/2015,-0.006300069
6/4/2015,-0.016374076
6/11/2015,-0.003318353
6/18/2015,0.011783126
6/25/2015,-0.022090297
7/2/2015,0.002506017
7/9/2015,0.030068988
7/16/2015,0.0054132
7/23/2015,-0.009651395
7/30/2015,-0.006594517
8/6/2015,-0.006664668
8/13/2015,0.005073687
8/20/2015,-0.101046543
8/27/2015,-0.013833007
9/3/2015,0.010337152
9/10/2015,0.018840914
9/17/2015,-0.026285731
9/24/2015,-0.028305874
10/1/2015,0.032145283
10/8/2015,0.004212455
10/15/2015,0.019167722
10/22/2015,0.023532167
10/29/2015,0.009811046
11/5/2015,-0.008556934
11/12/2015,-0.010927209
11/19/2015,0.002970534
11/26/2015,0.006497233
12/3/2015,-0.007576608
12/10/2015,-0.001509999
12/17/2015,-0.01595386
12/24/2015,0.006698718
12/31/2015,-0.022191969
1/7/2016,-0.025953069
