Date,Returns_1,Returns_2
12/11/2014,0.123658771,0.030748753
12/18/2014,-0.109692336,-0.040334722
12/25/2014,0.09169531,0.010322673
1/1/2015,0.355740422,0.12291788
1/8/2015,0.144246393,0.045398769
1/15/2015,0.212247384,0.106268703
1/22/2015,0.140455737,0.076763319
1/29/2015,-0.386246808,-0.054381593
2/5/2015,-0.047084566,-0.01918953
2/12/2015,-0.013620281,-0.00659001
2/19/2015,0.046549818,0.058142226
2/26/2015,0.030636806,0.027038262
3/5/2015,0.05708333,0.029518841
3/12/2015,0.117442054,0.069871222
3/19/2015,-0.050582954,-0.036482198
3/26/2015,-0.048814459,-0.031059336
4/2/2015,0.005815748,0.047768881
4/9/2015,0.014331205,0.04096781
4/16/2015,-0.012057411,-0.008396157
4/23/2015,0.071993984,0.062872789
4/30/2015,0.016156788,-0.015465387
5/7/2015,0.008124367,-0.007597417
5/14/2015,-0.125845936,-0.069724182
5/21/2015,-0.019668918,-0.070375891
5/28/2015,-0.003742598,-0.019677848
6/4/2015,0.046503537,0.024654053
6/11/2015,-0.035129218,-0.044901519
6/18/2015,0.005616047,0.015740227
6/25/2015,0.040799001,0.000872245
7/2/2015,0.055395505,0.061641011
7/9/2015,0.044729869,0.044660536
7/16/2015,-0.029046045,-0.022708873
7/23/2015,-0.022061024,-0.034612754
7/30/2015,0.13705453,0.044274931
8/6/2015,0.00434131,0.037026938
8/13/2015,0.039461159,0.002099413
8/20/2015,-0.210368709,-0.238116054
8/27/2015,-0.383710767,-0.265853826
9/3/2015,-0.000162701,-0.042626459
9/10/2015,-0.000342859,0.0297199
9/17/2015,0.00109855,0.067496999
9/24/2015,-0.012489009,-0.072093448
10/1/2015,-0.000379817,-0.019739234
10/8/2015,0.000256647,0.096290554
10/15/2015,-0.040007427,-0.027525386
10/22/2015,0.063099758,0.047174536
10/29/2015,-0.018194695,-0.117656157
11/5/2015,0.000405759,0.028319091
11/12/2015,0.033150926,0.030845389
11/19/2015,-0.097114391,-0.02306539
11/26/2015,0.07310131,0.017529411
12/3/2015,0.017600146,-0.026877881
12/10/2015,0.001569644,0.02461264
12/17/2015,0.004282469,0.035882876
12/24/2015,0.004564524,0.030870534
12/31/2015,-0.075605206,-0.082360117
1/7/2016,0.010585001,-0.021841545
1/14/2016,0.002251313,0.032662989
1/21/2016,-0.019337545,-0.030268373
1/28/2016,0.008970356,0.027658972
2/4/2016,0.122617958,0.109975971
2/11/2016,-0.159748391,-0.029347348
2/18/2016,0.064259226,0.034279896
2/25/2016,0.023063008,0.034725243
3/3/2016,0.101233708,0.060988733
3/10/2016,-0.098541421,-0.026113537
3/17/2016,-0.088432313,-0.004221406
3/24/2016,-0.011281947,-0.002212721
3/31/2016,-0.135738642,-0.086913629
4/7/2016,-0.020445851,-0.015304926
4/14/2016,-0.004869272,-0.050794333
4/21/2016,-1.25E-05,0.012605512
4/28/2016,-0.000243598,-0.051726226
5/5/2016,-0.006929997,-0.020754634
5/12/2016,0.074399833,0.119981267
5/19/2016,0.01025918,-0.002377283
5/26/2016,0.055544106,0.032260877
6/2/2016,-0.077962339,-0.013625397
6/9/2016,0.094194099,0.042860911
6/16/2016,-0.157582977,-0.101302987
6/23/2016,0.000659455,-0.007924601
6/30/2016,-0.014520893,-0.027609418
7/7/2016,0.027190257,0.010399945
7/14/2016,0.103765913,0.058085339
7/21/2016,0.07282355,0.029536923
7/28/2016,0.105832628,0.044445298
8/4/2016,-0.079441329,-0.041138281
8/11/2016,-0.228029115,-0.073332939
8/18/2016,-0.057054032,-0.014363401
8/25/2016,0.008694608,-0.011742002
9/1/2016,0.011570375,0.042033476
9/8/2016,-0.03251863,-0.059634986
9/15/2016,-0.06382279,-0.061274495
9/22/2016,0.021775818,0.042195357
9/29/2016,0.013668191,0.011385987
10/6/2016,-0.020854326,-0.017224692
10/13/2016,-0.020462703,-0.012130439
10/20/2016,0.015425068,0.020223905
10/27/2016,-0.164022435,-0.086054796
11/3/2016,0.129030961,0.052085219
11/10/2016,-0.068120622,-0.012615825
11/17/2016,0.004133715,0.028496682
11/24/2016,0.064877457,-0.023840327
12/1/2016,-0.14602862,-0.089901765
12/8/2016,-0.038741226,-0.030537184
12/15/2016,0.057305959,0.043118156
12/22/2016,-0.027640873,-0.007727204
12/29/2016,-0.02707212,-0.020109057
1/5/2017,-0.008761426,-0.02986806
1/12/2017,0.038213903,0.040145719
1/19/2017,0.006454384,0.020008078
1/26/2017,-0.075245886,-0.040796081
2/2/2017,0.000885258,-0.008496442
2/9/2017,0.038280308,0.019799798
2/16/2017,0.03258104,0.027150045
2/23/2017,0.036863512,0.026344592
3/2/2017,-0.081643946,-0.042066762
3/9/2017,-0.005534294,0.016623418
3/16/2017,-0.102054999,-0.067467108
3/23/2017,0.052591319,0.049772897
3/30/2017,-0.022630684,-0.012867235
4/6/2017,-0.041740241,-0.035246922
4/13/2017,-0.043741965,-0.019577101
4/20/2017,-0.125529075,-0.040188448
4/27/2017,-0.076930668,-0.076626294
5/4/2017,0.004495729,0.025562509
5/11/2017,-0.064732587,-0.02292339
5/18/2017,-0.060420474,0.00809851
5/25/2017,0.105124847,0.034369484
6/1/2017,-0.007663687,0.051110741
6/8/2017,-0.076916727,-0.03755188
6/15/2017,-0.003120195,-0.012755788
6/22/2017,-0.029460154,0.02865727
6/29/2017,-0.159558527,-0.101683309
7/6/2017,-0.059329864,-0.017260626
7/13/2017,-0.045060159,-0.018533793
7/20/2017,0.03109709,0.02583567
7/27/2017,-0.036884771,0.000309017
8/3/2017,-0.016713433,-0.012169827
8/10/2017,0.005701636,-0.004725033
